name,title,barcode,size,brand,image3,category
BTWED1-7235,South Bicolor Beige,8435476138247,35,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-beige-boots-alohas-335751.jpg?v=1677089073,shoes
BTWED1-7236,South Bicolor Beige,8435476138254,36,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-beige-boots-alohas-335751.jpg?v=1677089073,shoes
BTWED1-7237,South Bicolor Beige,8435476138261,37,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-beige-boots-alohas-335751.jpg?v=1677089073,shoes
BTWED1-7238,South Bicolor Beige,8435476138278,38,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-beige-boots-alohas-335751.jpg?v=1677089073,shoes
BTWED1-7239,South Bicolor Beige,8435476138285,39,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-beige-boots-alohas-335751.jpg?v=1677089073,shoes
BTWED1-7240,South Bicolor Beige,8435476138292,40,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-beige-boots-alohas-335751.jpg?v=1677089073,shoes
BTWED1-7241,South Bicolor Beige,8435476138308,41,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-beige-boots-alohas-335751.jpg?v=1677089073,shoes
BTWED1-7242,South Bicolor Beige,8435476138315,42,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-beige-boots-alohas-335751.jpg?v=1677089073,shoes
HEWDA1-1835,Cannes Lush Green,8435702505133,35,ALOHAS,,
HEWDA1-1836,Cannes Lush Green,8435702505140,36,ALOHAS,,
HEWDA1-1837,Cannes Lush Green,8435702505157,37,ALOHAS,,
HEWDA1-1838,Cannes Lush Green,8435702505164,38,ALOHAS,,
HEWDA1-1839,Cannes Lush Green,8435702505171,39,ALOHAS,,
HEWDA1-1840,Cannes Lush Green,8435702505188,40,ALOHAS,,
HEWDA1-1841,Cannes Lush Green,8435702505195,41,ALOHAS,,
HEWDA1-1842,Cannes Lush Green,8435702505201,42,ALOHAS,,
HEWDA1-2335,Cannes Smokey Mauve,8435702505294,35,ALOHAS,,
HEWDA1-2336,Cannes Smokey Mauve,8435702505300,36,ALOHAS,,
HEWDA1-2337,Cannes Smokey Mauve,8435702505317,37,ALOHAS,,
